	AGRO ID	AGRO label	AGRO definition	Agrovoc URI	Agrovoc label	KK	"suggestions, comments"	Suggested URI
59	http://purl.obolibrary.org/obo/AGRO_00000092	mulch	"Layer of material applied to the soil surface to conserve moisture, improve soil fertility, reduce weed growth, or enhance the visual appeal of the area."	http://aims.fao.org/aos/agrovoc/c_b219433a	stubble tillage	No	mulches	http://aims.fao.org/aos/agrovoc/c_4977
60	http://purl.obolibrary.org/obo/AGRO_00000197	liming material	An environmental material containing calcium and/or magnesium compounds  and applied to soil in order to neutralize soil acidity.	http://aims.fao.org/aos/agrovoc/c_200	liming materials	Yes		
61	http://purl.obolibrary.org/obo/AGRO_00000075	green manure	"Plants that are grown to be tilled, or cut down to lay on top of the ground for the purpose of adding organic matter and nutrients to the soil."	http://aims.fao.org/aos/agrovoc/c_3375	green manures	Yes		
62	http://purl.obolibrary.org/obo/AGRO_00000085	oil cake	The biomass remaining after pressing oil seeds to extract oil.	http://aims.fao.org/aos/agrovoc/c_5336	oilseed cakes	Yes		
63	http://purl.obolibrary.org/obo/AGRO_00000086	blood meal	"Dry, inert powder made from blood. Blood usually comes from cattle or hogs as a slaughterhouse by-product."	http://aims.fao.org/aos/agrovoc/c_966	blood meal	Yes		
64	http://purl.obolibrary.org/obo/AGRO_00000088	oil meal	An agricultural environmental material that contains ground-biomass remaining after pressing oil seeds.	http://aims.fao.org/aos/agrovoc/c_5336	oilseed cakes	Yes		
65	http://purl.obolibrary.org/obo/AGRO_00020001	biofertilizer	"A environmental material which contains living microorganisms, which, when applied to seeds, plant surfaces, or soil, colonize the rhizosphere or the interior of the plant and promotes growth by increasing the supply or availability of primary nutrients to the host plant."	http://aims.fao.org/aos/agrovoc/c_24975	biofertilizers	Yes		
66	http://purl.obolibrary.org/obo/AGRO_00000116	draft animal	Organism used to pull agricultural implements.	http://aims.fao.org/aos/agrovoc/c_10457	draught animals	Yes		
67	http://purl.obolibrary.org/obo/AGRO_00000325	crop	"A crop is any cultivated plant, fungus, or alga that is harvested for food, clothing, livestock,fodder, biofuel, medicine, or other uses"	http://aims.fao.org/aos/agrovoc/c_1972	crops	Yes		
68	http://purl.obolibrary.org/obo/AGRO_00000154	crop residue	"Plant material remaining on the field ground after harvesting, including leaves, stalks, roots."	http://aims.fao.org/aos/agrovoc/c_16118	crop residues	Yes		
69	http://purl.obolibrary.org/obo/AGRO_00000037	aerial application	An application method in which a liquid material entity is applied by aircraft to an area.	http://aims.fao.org/aos/agrovoc/c_155	aerial application	Yes		
70	http://purl.obolibrary.org/obo/AGRO_00000046	deep placement	An application method in which the material entity is placed in the reduced soil layer.	http://aims.fao.org/aos/agrovoc/c_2151	deep placement	Yes		
71	http://purl.obolibrary.org/obo/AGRO_00000047	fertigation	An application method in which a water-soluble fertilizer is injected into water flowing through an irrigation system.	http://aims.fao.org/aos/agrovoc/c_15970	fertigation	Yes		
72	http://purl.obolibrary.org/obo/AGRO_00000048	foliar application	An application method in which a liquid material entity is sprayed to the leafy portions of a plant.	http://aims.fao.org/aos/agrovoc/c_3008	foliar application	Yes		
73	http://purl.obolibrary.org/obo/AGRO_00000051	seed dressing	An application method in which a material entity is appplied directly on seeds before seeding.	http://aims.fao.org/aos/agrovoc/c_26820	seed dressing	Yes		
74	http://purl.obolibrary.org/obo/AGRO_00000052	soil injection	An application method in which a material entity is injected under pressure beneath the soil surface.	http://aims.fao.org/aos/agrovoc/c_7175	soil injection	Yes		
75	http://purl.obolibrary.org/obo/AGRO_00000053	tree injection	An application method in which a material entity is injected under the bark of trees.	http://aims.fao.org/aos/agrovoc/c_7885	tree injection	Yes		
76	http://purl.obolibrary.org/obo/AGRO_00000412	dibbling	An application method in which a material entity is placed into the soil in holes made with a pointed implement.	http://aims.fao.org/aos/agrovoc/c_25720	dibbling	Yes		
77	http://purl.obolibrary.org/obo/AGRO_00000413	drilling	An application method in which seeds are uniformlyplaced into shallow furrows before closing the furrows.	http://aims.fao.org/aos/agrovoc/c_27912	seed drilling	Yes		
78	http://purl.obolibrary.org/obo/AGRO_00000409	automatic irrigation	"Irrigation method with no or just a minimum of manual intervention beside the surveillance. Almost every system can be automated with help of timers, sensors or computers or mechanical appliances."	http://aims.fao.org/aos/agrovoc/c_722	automatic irrigation	Yes		
79	http://purl.obolibrary.org/obo/AGRO_00000272	kjeldahl method	Method for the quantitative determination of organic nitrogen in chemical substance.	http://aims.fao.org/aos/agrovoc/c_25021	Kjeldahl method	Yes		
80	http://purl.obolibrary.org/obo/AGRO_00000329	split plot design	An experimental design that enables an additional factor or treatment to be included at more than one level	http://aims.fao.org/aos/agrovoc/c_1410249722990	split plot design	Yes		
81	http://purl.obolibrary.org/obo/AGRO_00000036	application method	A plan specification which describes how a material entity is applied to another material entity.	http://aims.fao.org/aos/agrovoc/c_542	application methods	Yes		
82	http://purl.obolibrary.org/obo/AGRO_00000054	irrigation method	A plan specification which describes how water is applied to plants or soil.	http://aims.fao.org/aos/agrovoc/c_3957	irrigation methods	Yes		
83	http://purl.obolibrary.org/obo/AGRO_00000202	seeding rate	The area density of a seed	http://aims.fao.org/aos/agrovoc/c_6944	sowing rates	Yes		
84	http://purl.obolibrary.org/obo/AGRO_00000328	slope orientation	Orientation of the slope	http://aims.fao.org/aos/agrovoc/c_1832474d	exposition	Yes		
85	http://purl.obolibrary.org/obo/AGRO_00000299	farm area	An area quality inhering in a farm.	http://aims.fao.org/aos/agrovoc/c_2794	farm area	Yes		
86	http://purl.obolibrary.org/obo/AGRO_00010002	tillage depth	The depth of a tillage process	http://aims.fao.org/aos/agrovoc/c_d349db98	ploughing depth	Yes		
