	id	num_mappings	num_members	members	members_labels	max_confidence	min_confidence	avg_confidence	sources	num_sources	AGRO	agrovoc	AGRO_count	AGRO_conflated	agrovoc_count	agrovoc_conflated	is_conflated	is_all_conflated	total_conflated	proportion_conflated	conflation_score	members_count	min_count_by_source	max_count_by_source	avg_count_by_source	harmonic_mean_count_by_source
63	817e780a61033fbd02127edc4dc30dc7	1	2	agrovoc:c_3008|AGRO:00000048	foliar application	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000048	agrovoc:c_3008	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
64	62805e1ce6bdf1c79f78ae3104066c25	1	2	AGRO:00000051|agrovoc:c_26820	seed dressing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000051	agrovoc:c_26820	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
65	fd51df44b8f372d6cf51b016cc7dcb64	1	2	agrovoc:c_7175|AGRO:00000052	soil injection	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000052	agrovoc:c_7175	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
66	e59f7d4d75e76cc9b477086d27ae96ca	1	2	agrovoc:c_7885|AGRO:00000053	tree injection	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000053	agrovoc:c_7885	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
67	cccaf0a70a6a389e409236943f72a412	1	2	AGRO:00000412|agrovoc:c_25720	dibbling	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000412	agrovoc:c_25720	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
68	1e7ac883487933a6b2bea9e16aa25510	1	2	agrovoc:c_722|AGRO:00000409	automatic irrigation	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000409	agrovoc:c_722	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
69	c865126d93953bbf01c00bd20c812651	1	2	AGRO:00000272|agrovoc:c_25021	kjeldahl method|Kjeldahl method	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000272	agrovoc:c_25021	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
70	0f9f8fdf1d4d0afb5ff1ebcca201b63d	1	2	agrovoc:c_1410249722990|AGRO:00000329	split plot design	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000329	agrovoc:c_1410249722990	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
71	482b495aacae1fde2065513b66d909e4	1	2	agrovoc:c_542|AGRO:00000036	application method|application methods	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000036	agrovoc:c_542	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
72	c486edc1722e48038774984cf78746e6	1	2	agrovoc:c_3957|AGRO:00000054	irrigation methods|irrigation method	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000054	agrovoc:c_3957	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
73	8bc7579a6a84baf5edbc9f6dceff6db6	1	2	AGRO:00000202|agrovoc:c_6944	seeding rate|sowing rates	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000202	agrovoc:c_6944	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
74	630925634b4357c5a52680091eb8d362	1	2	AGRO:00000328|agrovoc:c_1832474d	slope orientation|exposition	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000328	agrovoc:c_1832474d	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
75	f6b88d154112647cde9e5c9af75fd830	1	2	AGRO:00000299|agrovoc:c_2794	farm area	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000299	agrovoc:c_2794	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
76	cf19cc205618cd1e51f9d76a81eadff7	1	2	agrovoc:c_d349db98|AGRO:00010002	ploughing depth|tillage depth	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00010002	agrovoc:c_d349db98	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
